datetime,pre
2023-07-30 17:50:00,21.642284
2023-07-30 17:55:00,22.754976
2023-07-30 18:00:00,23.171648
2023-07-30 18:05:00,23.321184
2023-07-30 18:10:00,23.462542
2023-07-30 18:15:00,23.553846
2023-07-30 18:20:00,23.587118
2023-07-30 18:25:00,23.584948
2023-07-30 18:30:00,23.562746
2023-07-30 18:35:00,23.529295
2023-07-30 18:40:00,23.48997
2023-07-30 18:45:00,23.451685
2023-07-30 18:50:00,23.430185
2023-07-30 18:55:00,23.448078
2023-07-30 19:00:00,23.715483
2023-07-30 19:05:00,23.70473
2023-07-30 19:10:00,23.708952
2023-07-30 19:15:00,23.714466
2023-07-30 19:20:00,23.735487
2023-07-30 19:25:00,23.779325
2023-07-30 19:30:00,23.829958
2023-07-30 19:35:00,23.888214
2023-07-30 19:40:00,23.952444
2023-07-30 19:45:00,24.016222
2023-07-30 19:50:00,24.075972
2023-07-30 19:55:00,24.133781
2023-07-30 20:00:00,24.194962
2023-07-30 20:05:00,24.271547
2023-07-30 20:10:00,24.391651
2023-07-30 20:15:00,24.622034
2023-07-30 20:20:00,25.906515
2023-07-30 20:25:00,26.30419
2023-07-30 20:30:00,26.608156
2023-07-30 20:35:00,26.924704
2023-07-30 20:40:00,27.242912
2023-07-30 20:45:00,27.892363
2023-07-30 20:50:00,30.481205
2023-07-30 20:55:00,32.54203
2023-07-30 21:00:00,34.47199
2023-07-30 21:05:00,30.27767
2023-07-30 21:10:00,28.175554
2023-07-30 21:15:00,27.75128
2023-07-30 21:20:00,27.206415
2023-07-30 21:25:00,26.545675
2023-07-30 21:30:00,26.59857
2023-07-30 21:35:00,26.766922
2023-07-30 21:40:00,27.091421
2023-07-30 21:45:00,27.600773
2023-07-30 21:50:00,28.289848
2023-07-30 21:55:00,29.059433
2023-07-30 22:00:00,29.796177
2023-07-30 22:05:00,30.967623
2023-07-30 22:10:00,32.066322
2023-07-30 22:15:00,33.116844
2023-07-30 22:20:00,34.167233
2023-07-30 22:25:00,35.303467
2023-07-30 22:30:00,36.688625
2023-07-30 22:35:00,38.003445
2023-07-30 22:40:00,39.78081
2023-07-30 22:45:00,41.59494
2023-07-30 22:50:00,43.16074
2023-07-30 22:55:00,45.01744
2023-07-30 23:00:00,46.79876
2023-07-30 23:05:00,47.474068
2023-07-30 23:10:00,48.33742
2023-07-30 23:15:00,49.83282
2023-07-30 23:20:00,51.467793
2023-07-30 23:25:00,52.347645
2023-07-30 23:30:00,53.105038
2023-07-30 23:35:00,53.676884
2023-07-30 23:40:00,54.18602
2023-07-30 23:45:00,54.717754
2023-07-30 23:50:00,55.83616
2023-07-30 23:55:00,56.314907
2023-07-31 00:00:00,57.23565
2023-07-31 00:05:00,59.155674
2023-07-31 00:10:00,59.0412
2023-07-31 00:15:00,58.899853
2023-07-31 00:20:00,58.879616
2023-07-31 00:25:00,60.89674
2023-07-31 00:30:00,71.571945
2023-07-31 00:35:00,79.756805
2023-07-31 00:40:00,80.44202
2023-07-31 00:45:00,80.53618
2023-07-31 00:50:00,81.370415
2023-07-31 00:55:00,84.37605
2023-07-31 01:00:00,92.1987
2023-07-31 01:05:00,104.527115
2023-07-31 01:10:00,111.69147
2023-07-31 01:15:00,114.5314
2023-07-31 01:20:00,119.48073
2023-07-31 01:25:00,122.72706
2023-07-31 01:30:00,128.22403
2023-07-31 01:35:00,132.48895
2023-07-31 01:40:00,133.6177
2023-07-31 01:45:00,136.82074
2023-07-31 01:50:00,161.1369
2023-07-31 01:55:00,173.71466
2023-07-31 02:00:00,168.56223
2023-07-31 02:05:00,161.87881
2023-07-31 02:10:00,168.6904
2023-07-31 02:15:00,173.7453
2023-07-31 02:20:00,169.78484
2023-07-31 02:25:00,154.12616
2023-07-31 02:30:00,155.04596
2023-07-31 02:35:00,157.0893
2023-07-31 02:40:00,159.47058
2023-07-31 02:45:00,162.09586
2023-07-31 02:50:00,164.92337
2023-07-31 02:55:00,168.00119
2023-07-31 03:00:00,171.4201
2023-07-31 03:05:00,174.88336
2023-07-31 03:10:00,177.90611
2023-07-31 03:15:00,180.51547
2023-07-31 03:20:00,182.83163
2023-07-31 03:25:00,185.0546
2023-07-31 03:30:00,187.39224
2023-07-31 03:35:00,189.89456
2023-07-31 03:40:00,192.54718
2023-07-31 03:45:00,195.78458
2023-07-31 03:50:00,200.4284
2023-07-31 03:55:00,205.62807
2023-07-31 04:00:00,209.95699
2023-07-31 04:05:00,212.83084
2023-07-31 04:10:00,216.97633
2023-07-31 04:15:00,221.60388
2023-07-31 04:20:00,226.33115
2023-07-31 04:25:00,230.65784
2023-07-31 04:30:00,233.40929
2023-07-31 04:35:00,233.47714
2023-07-31 04:40:00,234.13623
2023-07-31 04:45:00,235.57903
2023-07-31 04:50:00,237.93506
2023-07-31 04:55:00,241.47888
2023-07-31 05:00:00,246.95842
2023-07-31 05:05:00,254.4427
2023-07-31 05:10:00,262.08182
2023-07-31 05:15:00,270.0469
2023-07-31 05:20:00,277.80222
2023-07-31 05:25:00,284.81613
2023-07-31 05:30:00,289.07806
2023-07-31 05:35:00,293.66605
2023-07-31 05:40:00,298.77298
2023-07-31 05:45:00,304.5483
2023-07-31 05:50:00,312.04092
2023-07-31 05:55:00,320.32205
2023-07-31 06:00:00,321.2152
2023-07-31 06:05:00,328.34113
2023-07-31 06:10:00,333.5192
2023-07-31 06:15:00,337.74323
2023-07-31 06:20:00,342.47186
2023-07-31 06:25:00,344.23322
2023-07-31 06:30:00,349.1887
2023-07-31 06:35:00,353.83508
2023-07-31 06:40:00,359.55466
2023-07-31 06:45:00,368.10428
2023-07-31 06:50:00,376.8653
2023-07-31 06:55:00,384.97617
2023-07-31 07:00:00,392.788
2023-07-31 07:05:00,400.3326
2023-07-31 07:10:00,407.65237
2023-07-31 07:15:00,414.74228
2023-07-31 07:20:00,421.61917
2023-07-31 07:25:00,428.27896
2023-07-31 07:30:00,434.70764
2023-07-31 07:35:00,440.93185
2023-07-31 07:40:00,447.0186
2023-07-31 07:45:00,453.00476
2023-07-31 07:50:00,458.91232
2023-07-31 07:55:00,465.1122
2023-07-31 08:00:00,471.31363
2023-07-31 08:05:00,477.09784
2023-07-31 08:10:00,482.8468
2023-07-31 08:15:00,488.58163
2023-07-31 08:20:00,494.32852
2023-07-31 08:25:00,500.10162
2023-07-31 08:30:00,505.90787
2023-07-31 08:35:00,511.7477
2023-07-31 08:40:00,517.60785
2023-07-31 08:45:00,523.4791
2023-07-31 08:50:00,529.3517
2023-07-31 08:55:00,535.17334
2023-07-31 09:00:00,540.94666
2023-07-31 09:05:00,546.5823
2023-07-31 09:10:00,552.2123
2023-07-31 09:15:00,557.8795
2023-07-31 09:20:00,563.7368
2023-07-31 09:25:00,569.8833
2023-07-31 09:30:00,576.1641
2023-07-31 09:35:00,582.3672
2023-07-31 09:40:00,588.4133
2023-07-31 09:45:00,594.29584
2023-07-31 09:50:00,600.0054
2023-07-31 09:55:00,605.5785
2023-07-31 10:00:00,610.949
2023-07-31 10:05:00,616.22766
2023-07-31 10:10:00,621.4408
2023-07-31 10:15:00,626.7173
2023-07-31 10:20:00,631.9298
2023-07-31 10:25:00,636.9198
2023-07-31 10:30:00,641.6084
2023-07-31 10:35:00,645.78613
2023-07-31 10:40:00,649.77936
2023-07-31 10:45:00,654.1295
2023-07-31 10:50:00,659.1361
2023-07-31 10:55:00,663.22906
2023-07-31 11:00:00,664.0276
2023-07-31 11:05:00,666.36523
2023-07-31 11:10:00,668.6665
2023-07-31 11:15:00,672.28705
2023-07-31 11:20:00,679.8406
2023-07-31 11:25:00,686.4207
2023-07-31 11:30:00,691.74835
2023-07-31 11:35:00,696.6198
2023-07-31 11:40:00,703.59314
2023-07-31 11:45:00,709.5691
2023-07-31 11:50:00,714.7914
2023-07-31 11:55:00,724.78613
2023-07-31 12:00:00,732.67236
2023-07-31 12:05:00,763.25354
2023-07-31 12:10:00,777.39856
2023-07-31 12:15:00,792.21155
2023-07-31 12:20:00,817.8987
2023-07-31 12:25:00,844.08136
2023-07-31 12:30:00,860.21497
2023-07-31 12:35:00,880.68054
2023-07-31 12:40:00,891.45966
2023-07-31 12:45:00,906.14343
2023-07-31 12:50:00,912.20825
2023-07-31 12:55:00,911.5071
2023-07-31 13:00:00,901.4783
2023-07-31 13:05:00,891.2407
2023-07-31 13:10:00,883.0784
2023-07-31 13:15:00,876.81555
2023-07-31 13:20:00,874.43787
2023-07-31 13:25:00,868.61646
2023-07-31 13:30:00,866.0626
2023-07-31 13:35:00,863.97675
2023-07-31 13:40:00,853.55505
2023-07-31 13:45:00,838.073
2023-07-31 13:50:00,823.7398
2023-07-31 13:55:00,818.89484
2023-07-31 14:00:00,825.30524
2023-07-31 14:05:00,838.4407
2023-07-31 14:10:00,846.5698
2023-07-31 14:15:00,859.4912
2023-07-31 14:20:00,875.8074
2023-07-31 14:25:00,893.173
2023-07-31 14:30:00,905.9264
2023-07-31 14:35:00,909.86926
2023-07-31 14:40:00,904.71387
2023-07-31 14:45:00,897.6327
2023-07-31 14:50:00,889.7998
2023-07-31 14:55:00,882.0714
2023-07-31 15:00:00,896.20715
2023-07-31 15:05:00,905.5615
2023-07-31 15:10:00,920.6769
2023-07-31 15:15:00,926.7832
2023-07-31 15:20:00,938.7131
2023-07-31 15:25:00,944.17896
2023-07-31 15:30:00,943.52136
2023-07-31 15:35:00,949.3517
2023-07-31 15:40:00,949.777
2023-07-31 15:45:00,951.7841
2023-07-31 15:50:00,951.93414
2023-07-31 15:55:00,949.787
2023-07-31 16:00:00,948.4154
2023-07-31 16:05:00,947.2037
2023-07-31 16:10:00,940.81067
2023-07-31 16:15:00,936.2954
2023-07-31 16:20:00,933.21967
2023-07-31 16:25:00,926.4955
2023-07-31 16:30:00,924.08307
2023-07-31 16:35:00,915.6353
2023-07-31 16:40:00,910.29626
2023-07-31 16:45:00,894.4273
2023-07-31 16:50:00,900.69305
2023-07-31 16:55:00,906.7334
2023-07-31 17:00:00,913.43866
2023-07-31 17:05:00,933.60284
2023-07-31 17:10:00,937.9239
2023-07-31 17:15:00,939.7127
2023-07-31 17:20:00,917.3524
2023-07-31 17:25:00,907.36597
2023-07-31 17:30:00,903.1405
2023-07-31 17:35:00,900.91833
2023-07-31 17:40:00,899.63074
2023-07-31 17:45:00,897.30457
2023-07-31 17:50:00,898.68884
2023-07-31 17:55:00,902.6687
2023-07-31 18:00:00,900.5051
2023-07-31 18:05:00,895.3861
2023-07-31 18:10:00,889.9309
2023-07-31 18:15:00,884.4214
2023-07-31 18:20:00,878.2536
2023-07-31 18:25:00,872.75256
2023-07-31 18:30:00,866.2095
2023-07-31 18:35:00,857.8119
2023-07-31 18:40:00,852.662
2023-07-31 18:45:00,846.1273
2023-07-31 18:50:00,840.82935
2023-07-31 18:55:00,835.1511
2023-07-31 19:00:00,834.5455
2023-07-31 19:05:00,830.2573
2023-07-31 19:10:00,827.8801
2023-07-31 19:15:00,827.2444
2023-07-31 19:20:00,827.35645
2023-07-31 19:25:00,824.781
2023-07-31 19:30:00,818.69824
2023-07-31 19:35:00,803.12634
2023-07-31 19:40:00,796.83716
2023-07-31 19:45:00,792.6494
2023-07-31 19:50:00,787.76
2023-07-31 19:55:00,784.87634
2023-07-31 20:00:00,782.09204
2023-07-31 20:05:00,778.5729
2023-07-31 20:10:00,775.1151
2023-07-31 20:15:00,771.52216
2023-07-31 20:20:00,767.0778
2023-07-31 20:25:00,763.10645
2023-07-31 20:30:00,752.3679
2023-07-31 20:35:00,745.0553
2023-07-31 20:40:00,739.7871
2023-07-31 20:45:00,736.4586
2023-07-31 20:50:00,734.0305
2023-07-31 20:55:00,733.50854
2023-07-31 21:00:00,732.9491
2023-07-31 21:05:00,732.8227
2023-07-31 21:10:00,734.03046
2023-07-31 21:15:00,737.90875
2023-07-31 21:20:00,736.8718
2023-07-31 21:25:00,736.125
2023-07-31 21:30:00,734.08453
2023-07-31 21:35:00,732.06824
2023-07-31 21:40:00,730.7383
2023-07-31 21:45:00,728.5452
2023-07-31 21:50:00,726.5366
2023-07-31 21:55:00,724.48785
2023-07-31 22:00:00,722.3153
2023-07-31 22:05:00,720.19135
2023-07-31 22:10:00,717.99426
2023-07-31 22:15:00,715.7569
2023-07-31 22:20:00,713.44116
2023-07-31 22:25:00,711.0366
2023-07-31 22:30:00,709.9724
2023-07-31 22:35:00,708.22504
2023-07-31 22:40:00,706.599
2023-07-31 22:45:00,705.041
2023-07-31 22:50:00,703.4559
2023-07-31 22:55:00,702.1754
2023-07-31 23:00:00,701.3108
2023-07-31 23:05:00,699.97266
2023-07-31 23:10:00,698.8394
2023-07-31 23:15:00,697.8971
2023-07-31 23:20:00,697.0675
2023-07-31 23:25:00,696.2887
2023-07-31 23:30:00,695.5066
2023-07-31 23:35:00,694.66907
2023-07-31 23:40:00,693.74634
2023-07-31 23:45:00,692.8895
2023-07-31 23:50:00,692.4144
2023-07-31 23:55:00,692.3379
2023-08-01 00:00:00,692.0301
2023-08-01 00:05:00,691.82855
2023-08-01 00:10:00,691.5605
2023-08-01 00:15:00,691.29663
2023-08-01 00:20:00,691.0241
2023-08-01 00:25:00,690.23816
2023-08-01 00:30:00,691.3053
2023-08-01 00:35:00,691.5603
2023-08-01 00:40:00,691.6522
2023-08-01 00:45:00,691.8098
2023-08-01 00:50:00,691.98553
2023-08-01 00:55:00,692.41486
2023-08-01 01:00:00,693.03595
2023-08-01 01:05:00,693.4783
2023-08-01 01:10:00,693.5305
2023-08-01 01:15:00,693.2356
2023-08-01 01:20:00,694.4151
2023-08-01 01:25:00,695.37354
2023-08-01 01:30:00,697.80945
2023-08-01 01:35:00,697.5593
2023-08-01 01:40:00,698.04443
2023-08-01 01:45:00,699.7191
2023-08-01 01:50:00,702.98157
2023-08-01 01:55:00,711.7129
2023-08-01 02:00:00,725.3208
2023-08-01 02:05:00,743.1074
2023-08-01 02:10:00,777.0931
2023-08-01 02:15:00,781.03937
2023-08-01 02:20:00,783.6419
2023-08-01 02:25:00,790.83716
2023-08-01 02:30:00,795.18445
2023-08-01 02:35:00,805.27527
2023-08-01 02:40:00,816.81836
2023-08-01 02:45:00,829.19226
2023-08-01 02:50:00,842.54895
2023-08-01 02:55:00,857.1323
2023-08-01 03:00:00,868.0599
2023-08-01 03:05:00,884.04956
2023-08-01 03:10:00,900.53784
2023-08-01 03:15:00,914.90186
2023-08-01 03:20:00,917.0084
2023-08-01 03:25:00,919.2582
2023-08-01 03:30:00,923.403
2023-08-01 03:35:00,928.80225
2023-08-01 03:40:00,934.3047
2023-08-01 03:45:00,940.8622
2023-08-01 03:50:00,945.35986
2023-08-01 03:55:00,953.29663
2023-08-01 04:00:00,960.8096
2023-08-01 04:05:00,970.09924
2023-08-01 04:10:00,978.2688
2023-08-01 04:15:00,983.88324
2023-08-01 04:20:00,1003.4405
2023-08-01 04:25:00,1023.10535
2023-08-01 04:30:00,1029.8049
2023-08-01 04:35:00,1043.7798
2023-08-01 04:40:00,1057.56
2023-08-01 04:45:00,1067.9708
2023-08-01 04:50:00,1075.681
2023-08-01 04:55:00,1085.8376
2023-08-01 05:00:00,1097.7582
2023-08-01 05:05:00,1108.9808
2023-08-01 05:10:00,1120.4939
2023-08-01 05:15:00,1137.6035
2023-08-01 05:20:00,1149.3837
2023-08-01 05:25:00,1160.1409
2023-08-01 05:30:00,1174.8557
2023-08-01 05:35:00,1188.39
2023-08-01 05:40:00,1210.3026
2023-08-01 05:45:00,1235.7919
2023-08-01 05:50:00,1251.113
2023-08-01 05:55:00,1269.2886
2023-08-01 06:00:00,1295.9995
2023-08-01 06:05:00,1316.8732
2023-08-01 06:10:00,1337.9834
2023-08-01 06:15:00,1356.2704
2023-08-01 06:20:00,1376.0106
2023-08-01 06:25:00,1395.1898
2023-08-01 06:30:00,1412.3722
2023-08-01 06:35:00,1426.7853
2023-08-01 06:40:00,1437.9691
2023-08-01 06:45:00,1447.2395
2023-08-01 06:50:00,1457.6285
2023-08-01 06:55:00,1469.3674
2023-08-01 07:00:00,1473.66
2023-08-01 07:05:00,1474.3134
2023-08-01 07:10:00,1474.5953
2023-08-01 07:15:00,1474.7661
2023-08-01 07:20:00,1474.9033
2023-08-01 07:25:00,1474.9755
2023-08-01 07:30:00,1475.0402
2023-08-01 07:35:00,1475.0488
2023-08-01 07:40:00,1475.0205
2023-08-01 07:45:00,1474.9711
2023-08-01 07:50:00,1474.9193
2023-08-01 07:55:00,1474.8865
2023-08-01 08:00:00,1474.8264
2023-08-01 08:05:00,1474.8503
2023-08-01 08:10:00,1473.4829
2023-08-01 08:15:00,1468.6191
2023-08-01 08:20:00,1465.495
2023-08-01 08:25:00,1461.125
2023-08-01 08:30:00,1453.6332
2023-08-01 08:35:00,1446.1984
2023-08-01 08:40:00,1440.9557
2023-08-01 08:45:00,1436.489
2023-08-01 08:50:00,1431.1552
2023-08-01 08:55:00,1419.7372
2023-08-01 09:00:00,1412.4636
2023-08-01 09:05:00,1415.649
2023-08-01 09:10:00,1415.4683
2023-08-01 09:15:00,1411.5934
2023-08-01 09:20:00,1405.8573
2023-08-01 09:25:00,1400.8433
2023-08-01 09:30:00,1393.3004
2023-08-01 09:35:00,1389.9951
2023-08-01 09:40:00,1388.4166
2023-08-01 09:45:00,1386.7394
2023-08-01 09:50:00,1384.3635
2023-08-01 09:55:00,1381.3706
2023-08-01 10:00:00,1375.0165
2023-08-01 10:05:00,1368.4174
2023-08-01 10:10:00,1364.441
2023-08-01 10:15:00,1362.2585
2023-08-01 10:20:00,1359.9833
2023-08-01 10:25:00,1355.1454
2023-08-01 10:30:00,1352.0284
2023-08-01 10:35:00,1346.6376
2023-08-01 10:40:00,1339.0765
2023-08-01 10:45:00,1335.2902
2023-08-01 10:50:00,1331.9233
2023-08-01 10:55:00,1330.107
2023-08-01 11:00:00,1329.216
2023-08-01 11:05:00,1323.9637
2023-08-01 11:10:00,1320.3783
2023-08-01 11:15:00,1316.6749
2023-08-01 11:20:00,1306.15
2023-08-01 11:25:00,1301.8816
2023-08-01 11:30:00,1301.4147
2023-08-01 11:35:00,1298.901
2023-08-01 11:40:00,1292.4003
2023-08-01 11:45:00,1285.7075
2023-08-01 11:50:00,1271.7506
2023-08-01 11:55:00,1267.9122
2023-08-01 12:00:00,1264.556
2023-08-01 12:05:00,1263.1993
2023-08-01 12:10:00,1262.3617
2023-08-01 12:15:00,1261.4374
2023-08-01 12:20:00,1259.1278
2023-08-01 12:25:00,1255.6268
2023-08-01 12:30:00,1251.2021
2023-08-01 12:35:00,1247.8132
